ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,TestStat,ErrorCode,TrueHR
1,92,1,SUCCESS,0,0,-1.54921966862899,0,0.805054723064662
1,93,1,SUCCESS,1,0,-3.43962083654856,0,0.725120412284063
1,94,1,SUCCESS,0,0,-1.37945631064728,0,0.851924153554689
1,95,1,SUCCESS,0,0,0.294461046931016,0,0.915448800745417
1,96,1,SUCCESS,0,0,-0.761312907323023,0,0.77184549146609
1,97,1,SUCCESS,0,0,-0.900180979416869,0,0.717400677752606
1,98,1,SUCCESS,1,0,-3.76276420612803,0,0.729974490835524
1,99,1,SUCCESS,0,0,0.0272893190661847,0,0.781582258137544
1,100,1,SUCCESS,1,0,-2.7052857194997,0,0.778967703155691
1,101,1,SUCCESS,1,0,-2.20519290415697,0,0.881920952850597
1,102,1,SUCCESS,1,0,-2.93862486237965,0,0.654312648622502
1,103,1,SUCCESS,1,0,-4.0312672966021,0,0.802334989968716
1,104,1,SUCCESS,1,0,-4.02648448461401,0,0.655993007379011
1,105,1,SUCCESS,1,0,-2.38576559325256,0,0.75534086145201
1,106,1,SUCCESS,0,0,0.216582008723349,0,0.813455906659222
1,107,1,SUCCESS,0,0,-1.94764260914324,0,0.800053694089529
1,108,1,SUCCESS,1,0,-3.60392622446914,0,0.663574130055597
1,109,1,SUCCESS,1,0,-3.51730718858132,0,0.593716488796281
1,110,1,SUCCESS,1,0,-3.28114074912129,0,0.720925631161555
1,111,1,SUCCESS,0,0,-1.22625496483037,0,0.728851604675325
1,112,1,SUCCESS,0,0,-0.824553086592209,0,0.753151530802305
1,113,1,SUCCESS,1,0,-4.53040005131402,0,0.663619083719965
1,114,1,SUCCESS,0,0,-0.922389053729909,0,0.787335804577989
1,115,1,SUCCESS,0,0,-1.71849170034233,0,0.770848904793356
1,116,1,SUCCESS,1,0,-4.33411543743973,0,0.724114122899786
1,117,1,SUCCESS,1,0,-2.85036888297333,0,0.677571370747586
1,118,1,SUCCESS,0,0,-1.50451265889069,0,0.815214051775614
1,119,1,SUCCESS,1,0,-2.57730248599362,0,0.74522377330144
