ModelID,SimIndex,AnalysisIndex,Status,Decision,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
f7afde25-855c-46c6-8981-af6699895f69,18515,1,SUCCESS,Futility,0,0,0.04016,0.171486652277466,0.28178494787899,0.0451249979637345,0.356852480289707,0.0451249979637345,0.281784960594536,0.356852496392676,,
f7afde25-855c-46c6-8981-af6699895f69,18516,1,SUCCESS,Efficacy,0,0,0.94548,1.02303975693504,-0.0258653087367397,0.0451249979637345,1.05434445966235,0.0451249979637345,-0.0258653099039118,1.05434450723964,,
f7afde25-855c-46c6-8981-af6699895f69,18517,1,SUCCESS,Efficacy,0,0,0.8541,0.561887079804823,-0.271049333906865,0.0451249979637345,0.645455624432564,0.0451249979637345,-0.271049346137966,0.645455653558749,,
f7afde25-855c-46c6-8981-af6699895f69,18518,1,SUCCESS,Futility,0,0,0.62838,0.694942825545375,-0.00357624856759955,0.0451249979637345,0.694015443163288,0.0451249979637345,-0.00357624872897777,0.694015474480735,,
f7afde25-855c-46c6-8981-af6699895f69,18519,1,SUCCESS,Futility,0,0,0.00542,-0.0217089080894655,0.21127484023344,0.0451249979637345,0.0405670341323771,0.0451249979637345,0.211274849767217,0.0405670359629645,,
f7afde25-855c-46c6-8981-af6699895f69,18520,1,SUCCESS,Futility,0,0,0.00016,0.0242790942459264,0.143393528589056,0.0451249979637345,-0.317836087901387,0.0451249979637345,0.143393535059689,-0.317836102243741,,
f7afde25-855c-46c6-8981-af6699895f69,18521,1,SUCCESS,Futility,0,0,0.04772,0.131783391804176,-0.220745906018424,0.0451249979637345,-0.120026309093946,0.0451249979637345,-0.220745915979583,-0.120026314510133,,
f7afde25-855c-46c6-8981-af6699895f69,18522,1,SUCCESS,Futility,0,0,0.07868,0.0697921909338515,-0.257194885538317,0.0451249979637345,-0.0852584856624436,0.0451249979637345,-0.257194897144237,-0.0852584895097328,,
f7afde25-855c-46c6-8981-af6699895f69,18523,1,SUCCESS,Futility,0,0,0.19758,0.598052321982298,0.375993500704792,0.0451249979637345,0.718677717080129,0.0451249979637345,0.375993517671499,0.718677749510461,,
f7afde25-855c-46c6-8981-af6699895f69,18524,1,INSUFFICIENT_INFO,Futility,0,0,0.00044,0.0171986816875101,0.172363511086032,0.0451249979637345,-0.208059622348728,0.0451249979637345,0.172363518863935,-0.208059631737419,,
f7afde25-855c-46c6-8981-af6699895f69,18525,1,SUCCESS,Futility,0,0,0.00494,0.467655499895218,0.315115483749151,0.0451249979637345,0.137279685594895,0.0451249979637345,0.315115497968738,0.137279691789641,,
f7afde25-855c-46c6-8981-af6699895f69,18526,1,SUCCESS,Futility,0,0,0.53398,0.0646525243370694,-0.400507749345059,0.0451249979637345,0.224682712809038,0.0451249979637345,-0.400507767417971,0.224682722947846,,
f7afde25-855c-46c6-8981-af6699895f69,18527,1,SUCCESS,Futility,0,0,0.56464,0.511431850368451,-0.194651074395217,0.0451249979637345,0.455655803781977,0.0451249979637345,-0.194651083178847,0.455655824343445,,
f7afde25-855c-46c6-8981-af6699895f69,18528,1,INSUFFICIENT_INFO,Futility,0,0,0.41002,0.482255335276931,0.392829892882017,0.0451249979637345,0.923249245590634,0.0451249979637345,0.392829910608466,0.923249287252256,,
f7afde25-855c-46c6-8981-af6699895f69,18529,1,SUCCESS,Futility,0,0,0.7706,0.651992352576844,0.146403720552195,0.0451249979637345,0.970591050227607,0.0451249979637345,0.146403727158663,0.970591094025528,,
f7afde25-855c-46c6-8981-af6699895f69,18530,1,INSUFFICIENT_INFO,Futility,0,0,0.20152,0.896731231237061,0.142816874288297,0.0451249979637345,0.491105381938977,0.0451249979637345,0.142816880732908,0.491105404100108,,
f7afde25-855c-46c6-8981-af6699895f69,18531,1,INSUFFICIENT_INFO,Futility,0,0,0.04018,0.421676473326725,0.406263730358064,0.0451249979637345,0.477339048303909,0.0451249979637345,0.406263748690715,0.477339069843834,,
f7afde25-855c-46c6-8981-af6699895f69,18532,1,SUCCESS,Futility,0,0,0.11558,0.415967319696287,-0.00937872490481156,0.0451249979637345,0.228650999555866,0.0451249979637345,-0.00937872532802652,0.228651009873742,,
f7afde25-855c-46c6-8981-af6699895f69,18533,1,SUCCESS,Efficacy,0,0,0.9925,0.958754811806162,-0.281813211901895,0.0451249979637345,1.05129013956819,0.0451249979637345,-0.281813224618716,1.05129018700766,,
f7afde25-855c-46c6-8981-af6699895f69,18534,1,INSUFFICIENT_INFO,Futility,0,0,0.39424,0.564993256572776,-0.12685113158109,0.0451249979637345,0.393724339798731,0.0451249979637345,-0.126851137305247,0.393724357565541,,
f7afde25-855c-46c6-8981-af6699895f69,18535,1,SUCCESS,Futility,0,0,0.15414,-0.0827770472305842,-0.0883527431734061,0.0451249979637345,0.206596053845118,0.0451249979637345,-0.0883527471603237,0.206596063167764,,
f7afde25-855c-46c6-8981-af6699895f69,18536,1,INSUFFICIENT_INFO,Futility,0,0,0.15674,-0.02646313948854,0.0454932798714676,0.0451249979637345,0.341383686809877,0.0451249979637345,0.0454932819243518,0.341383702214816,,
f7afde25-855c-46c6-8981-af6699895f69,18537,1,SUCCESS,Efficacy,0,0,0.97806,1.04959441771275,-0.248861514571813,0.0451249979637345,0.963043388020725,0.0451249979637345,-0.248861525801689,0.963043431478058,,
f7afde25-855c-46c6-8981-af6699895f69,18538,1,SUCCESS,Futility,0,0,0.69458,0.288470486813531,-0.26802491911117,0.0451249979637345,0.487401110487184,0.0451249979637345,-0.268024931205795,0.487401132481159,,
f7afde25-855c-46c6-8981-af6699895f69,18539,1,SUCCESS,Futility,0,0,0.03446,0.256347418165216,0.275252845132886,0.0451249979637345,0.327534511135834,0.0451249979637345,0.275252857553671,0.327534525915829,,
f7afde25-855c-46c6-8981-af6699895f69,18540,1,INSUFFICIENT_INFO,Efficacy,0,0,0.9103,1.16513392844571,0.0922734755974078,0.0451249979637345,1.09458886018944,0.0451249979637345,0.0922734797612484,1.09458890958277,,
f7afde25-855c-46c6-8981-af6699895f69,18541,1,SUCCESS,Futility,0,0,0.1296,0.0143595054576343,-0.0117617922841756,0.0451249979637345,0.249165427352942,0.0451249979637345,-0.0117617928149265,0.249165438596532,,
f7afde25-855c-46c6-8981-af6699895f69,18542,1,INSUFFICIENT_INFO,Futility,0,0,0.71828,0.877668541237396,-0.0373491961116099,0.0451249979637345,0.736564105329685,0.0451249979637345,-0.0373491977969923,0.73656413856714,,
f7afde25-855c-46c6-8981-af6699895f69,18543,1,INSUFFICIENT_INFO,Futility,0,0,0.23838,0.0553170322318981,-0.31741889353284,0.0451249979637345,0.0694029049095039,0.0451249979637345,-0.317418907856367,0.06940290804131,,
f7afde25-855c-46c6-8981-af6699895f69,18544,1,INSUFFICIENT_INFO,Futility,0,0,0.09186,0.67140434982157,0.210400455601212,0.0451249979637345,0.406917809085331,0.0451249979637345,0.210400465095533,0.406917827447497,,
f7afde25-855c-46c6-8981-af6699895f69,18545,1,INSUFFICIENT_INFO,Futility,0,0,0.60644,0.670316809894173,-0.0245760853917,0.0451249979637345,0.65814381347636,0.0451249979637345,-0.0245760865006959,0.6581438431751,,
f7afde25-855c-46c6-8981-af6699895f69,18546,1,INSUFFICIENT_INFO,Futility,0,0,0.0098,0.221023103163926,0.446392277379678,0.0451249979637345,0.340830813614348,0.0451249979637345,0.446392297523129,0.340830828994339,,
f7afde25-855c-46c6-8981-af6699895f69,18547,1,INSUFFICIENT_INFO,Futility,0,0,0.00754,-0.0397936371025192,0.166511885534192,0.0451249979637345,0.0323911773519496,0.0451249979637345,0.166511893048041,0.0323911788136015,,
f7afde25-855c-46c6-8981-af6699895f69,18548,1,SUCCESS,Efficacy,0,0,0.9424,0.765335535957613,0.0393967062665257,0.0451249979637345,1.11266592254769,0.0451249979637345,0.0393967080443021,1.11266597275674,,
f7afde25-855c-46c6-8981-af6699895f69,18549,1,SUCCESS,Futility,0,0,0.71144,0.356521295958962,-0.25753504410328,0.0451249979637345,0.511767617169949,0.0451249979637345,-0.257535055724549,0.511767640263463,,
f7afde25-855c-46c6-8981-af6699895f69,18550,1,SUCCESS,Futility,0,0,0.11544,-0.0110976701524477,-0.127092359219432,0.0451249979637345,0.108957173190848,0.0451249979637345,-0.127092364954474,0.108957178107541,,
f7afde25-855c-46c6-8981-af6699895f69,18551,1,INSUFFICIENT_INFO,Futility,0,0,0.5859,0.442896545230891,-0.296481978531516,0.0451249979637345,0.369567186555877,0.0451249979637345,-0.296481991910265,0.369567203232596,,
f7afde25-855c-46c6-8981-af6699895f69,18552,1,INSUFFICIENT_INFO,Futility,0,0,0.26044,0.563076289455589,0.218589779748031,0.0451249979637345,0.625690217919305,0.0451249979637345,0.218589789611895,0.625690246153576,,
f7afde25-855c-46c6-8981-af6699895f69,18553,1,INSUFFICIENT_INFO,Futility,0,0,0.39238,0.482875256848216,-0.0330668061374501,0.0451249979637345,0.482178001223335,0.0451249979637345,-0.0330668076295897,0.482178022981617,,
f7afde25-855c-46c6-8981-af6699895f69,18554,1,INSUFFICIENT_INFO,Futility,0,0,0.06786,-0.000111755995237858,-0.323020664473497,0.0451249979637345,-0.169635803997276,0.0451249979637345,-0.323020679049804,-0.169635811652092,,
f7afde25-855c-46c6-8981-af6699895f69,18555,1,SUCCESS,Futility,0,0,0.01162,-0.0774157649885536,-0.184062287627577,0.0451249979637345,-0.262621194499338,0.0451249979637345,-0.184062295933388,-0.262621206350119,,
f7afde25-855c-46c6-8981-af6699895f69,18556,1,INSUFFICIENT_INFO,Futility,0,0,0.14418,-0.0675002233677209,0.198029244744769,0.0451249979637345,0.479591254319046,0.0451249979637345,0.198029253680838,0.479591275960601,,
f7afde25-855c-46c6-8981-af6699895f69,18557,1,SUCCESS,Futility,0,0,0.20706,0.0388427301381866,-0.0596794977022967,0.0451249979637345,0.295237382094529,0.0451249979637345,-0.059679500395334,0.295237395417116,,
f7afde25-855c-46c6-8981-af6699895f69,18558,1,SUCCESS,Futility,0,0,0.15798,-0.00594431982403207,-0.325632196689419,0.0451249979637345,-0.0276671522885468,0.0451249979637345,-0.325632211383572,-0.0276671535370271,,
f7afde25-855c-46c6-8981-af6699895f69,18559,1,SUCCESS,Futility,0,0,0.02212,0.290630123137473,0.178760177670117,0.0451249979637345,0.170993968977824,0.0451249979637345,0.17876018573667,0.170993976693927,,
f7afde25-855c-46c6-8981-af6699895f69,18560,1,SUCCESS,Futility,0,0,0.02286,0.275087727787419,0.124711202423173,0.0451249979637345,0.124329776604338,0.0451249979637345,0.124711208050766,0.124329782214719,,
f7afde25-855c-46c6-8981-af6699895f69,18561,1,SUCCESS,Futility,0,0,0.0741,-0.105055192875998,-0.166958254335458,0.0451249979637345,-0.000267284974646715,0.0451249979637345,-0.166958261869449,-0.00026728498670795,,
f7afde25-855c-46c6-8981-af6699895f69,18562,1,SUCCESS,Futility,0,0,0.00192,0.0103112266401242,0.082008997774565,0.0451249979637345,-0.184668668341602,0.0451249979637345,0.0820090014752211,-0.184668676674775,,
f7afde25-855c-46c6-8981-af6699895f69,18563,1,INSUFFICIENT_INFO,Efficacy,0,0,0.80384,0.428800320699107,-0.252130239903285,0.0451249979637345,0.608102251908048,0.0451249979637345,-0.252130251280662,0.608102279348663,,
f7afde25-855c-46c6-8981-af6699895f69,18564,1,INSUFFICIENT_INFO,Futility,0,0,0.18798,0.400149143880009,0.108067334989317,0.0451249979637345,0.443159236648277,0.0451249979637345,0.108067339865855,0.443159256645838,,
f7afde25-855c-46c6-8981-af6699895f69,18565,1,SUCCESS,Futility,0,0,0.29666,0.450385044948483,-0.0795360262238492,0.0451249979637345,0.357894825346059,0.0451249979637345,-0.0795360298129123,0.357894841496064,,
f7afde25-855c-46c6-8981-af6699895f69,18566,1,INSUFFICIENT_INFO,Futility,0,0,0.46094,0.617681566936275,0.227269206296426,0.0451249979637345,0.800375240833378,0.0451249979637345,0.227269216551949,0.800375276950311,,
f7afde25-855c-46c6-8981-af6699895f69,18567,1,INSUFFICIENT_INFO,Futility,0,0,0.01008,-0.0467613905374146,0.185607191168606,0.0451249979637345,0.0888380333529538,0.0451249979637345,0.18560719954413,0.0888380373617701,,
f7afde25-855c-46c6-8981-af6699895f69,18568,1,SUCCESS,Efficacy,0,0,0.98124,0.842195155928466,-0.00228231792194187,0.0451249979637345,1.22354463754676,0.0451249979637345,-0.00228231802493147,1.22354469275921,,
f7afde25-855c-46c6-8981-af6699895f69,18569,1,SUCCESS,Futility,0,0,0.49782,0.428825388276372,-0.0642284220082765,0.0451249979637345,0.531923973008921,0.0451249979637345,-0.064228424906584,0.53192399701199,,
f7afde25-855c-46c6-8981-af6699895f69,18570,1,INSUFFICIENT_INFO,Futility,0,0,0.76486,0.919666147118895,-0.0471099335286776,0.0451249979637345,0.771862651764347,0.0451249979637345,-0.0471099356545133,0.771862686594649,,
f7afde25-855c-46c6-8981-af6699895f69,18571,1,INSUFFICIENT_INFO,Efficacy,0,0,0.94712,0.868388363976187,0.307491811522391,0.0451249979637345,1.38909184013512,0.0451249979637345,0.307491825397959,1.38909190281789,,
f7afde25-855c-46c6-8981-af6699895f69,18572,1,SUCCESS,Futility,0,0,0.59318,0.796352171652003,0.0490109302805262,0.0451249979637345,0.71979314626429,0.0451249979637345,0.0490109324921445,0.719793178744956,,
f7afde25-855c-46c6-8981-af6699895f69,18573,1,SUCCESS,Futility,0,0,0.00118,0.0875174455742898,0.316845653379782,0.0451249979637345,-0.00492288302750615,0.0451249979637345,0.316845667677443,-0.00492288324965125,,
