ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
1,19880,1,SUCCESS,2,0,0,0.6222,0.56694,-0.0360009091098605,0.0180499996741975,0.624332856563337,0.0180499996741975,-0.036000909759677,0.624332867832545,,
1,19881,1,SUCCESS,2,0,0,0.981,0.84461,-0.111442766349815,0.0180499996741975,0.883177139642188,0.0180499996741975,-0.111442768361357,0.883177155583535,,
1,19882,1,SUCCESS,2,0,0,0.70306,0.86097,0.0122958004438711,0.0180499996741975,0.713593561483068,0.0180499996741975,0.0122958006658103,0.713593574363432,,
1,19883,1,SUCCESS,3,0,0,0.42204,0.63597,0.00325640644094356,0.0180499996741975,0.56806528400677,0.0180499996741975,0.00325640649972169,0.568065294260349,,
1,19884,1,SUCCESS,2,0,0,1,0.76249,-0.355921487745599,0.0180499996741975,1.04634232293149,0.0180499996741975,-0.355921494169982,1.04634234181797,,
1,19885,1,SUCCESS,3,0,0,0.44976,0.60166,0.0111252598222452,0.0180499996741975,0.587345775778582,0.0180499996741975,0.0111252600230561,0.587345786380173,,
1,19886,1,SUCCESS,2,0,0,1,1.53663,0.121220972305257,0.0180499996741975,1.69777045253897,0.0180499996741975,0.121220974493295,1.69777048318372,,
1,19887,1,SUCCESS,2,0,0,0.95526,0.70594,0.0199293340318161,0.0180499996741975,0.94315456610719,0.0180499996741975,0.0199293343915405,0.94315458313113,,
1,19888,1,SUCCESS,2,0,0,1,1.31086,-0.196255883880541,0.0180499996741975,1.21004803752756,0.0180499996741975,-0.196255887422959,1.21004805936892,,
1,19889,1,SUCCESS,2,0,0,0.78928,0.62554,-0.132283934019896,0.0180499996741975,0.621521285672133,0.0180499996741975,-0.132283936407621,0.621521296890592,,
1,19890,1,SUCCESS,2,0,0,0.99994,1.12095,-0.0040898248240841,0.0180499996741975,1.33099342217756,0.0180499996741975,-0.00408982489790544,1.33099344620199,,
1,19891,1,SUCCESS,2,0,0,0.66492,0.92909,0.055021701306983,0.0180499996741975,0.734340199192933,0.0180499996741975,0.0550217023001247,0.734340212447773,,
1,19892,1,SUCCESS,2,0,0,0.90502,0.76849,-0.132939768526791,0.0180499996741975,0.716042687637862,0.0180499996741975,-0.132939770926354,0.716042700562432,,
1,19893,1,SUCCESS,2,0,0,0.988,1.27302,0.0100361107608723,0.0180499996741975,1.03719944262132,0.0180499996741975,0.0100361109420241,1.03719946134277,,
1,19894,1,SUCCESS,2,0,0,0.9229,0.72767,0.117557328164711,0.0180499996741975,0.990782598756517,0.0180499996741975,0.11755733028662,0.990782616640143,,
1,19895,1,SUCCESS,2,0,0,0.99402,0.95064,0.0163881638620644,0.0180499996741975,1.10014080174051,0.0180499996741975,0.0163881641578708,1.10014082159805,,
1,19896,1,SUCCESS,2,0,0,0.94982,0.95726,-0.132380166390319,0.0180499996741975,0.778793963824723,0.0180499996741975,-0.132380168779781,0.778793977881954,,
